,pam,ppl,dominant
4063,0.0,36.0,PPL
4306,472.0,23.0,PAM
5810,1.0,16.0,PPL
8333,8.0,179.0,PPL
9580,10.0,2.0,PAM
10231,235.0,2.0,PAM
11074,1.0,7.0,PPL
13350,0.0,15.0,PPL
14146,0.0,5.0,PPL
19102,0.0,137.0,PPL
20246,166.0,2.0,PAM
20848,0.0,25.0,PPL
21939,0.0,59.0,PPL
23092,11.0,1.0,PAM
27156,0.0,1.0,PPL
27377,9.0,18.0,PPL
30354,378.0,4.0,PAM
31316,276.0,1.0,PAM
31375,1.0,20.0,PPL
32109,41.0,481.0,PPL
32166,0.0,37.0,PPL
33178,13.0,56.0,PPL
34314,121.0,1.0,PAM
40534,0.0,8.0,PPL
43601,595.0,56.0,PAM
45088,174.0,1.0,PAM
47684,717.0,12.0,PAM
51264,176.0,2.0,PAM
51609,1.0,129.0,PPL
53032,1.0,11.0,PPL
58018,110.0,2.0,PAM
58118,0.0,76.0,PPL
58149,3.0,96.0,PPL
59287,53.0,70.0,PPL
59405,20.0,473.0,PPL
60398,0.0,48.0,PPL
60420,433.0,2.0,PAM
60920,80.0,0.0,PAM
62415,1.0,8.0,PPL
62855,0.0,6.0,PPL
63246,6.0,108.0,PPL
64506,259.0,0.0,PAM
64910,155.0,0.0,PAM
65462,22.0,31.0,PPL
66654,0.0,16.0,PPL
66879,0.0,69.0,PPL
67120,851.0,0.0,PAM
67445,2.0,10.0,PPL
67617,967.0,2.0,PAM
67632,0.0,22.0,PPL
74926,0.0,7.0,PPL
75865,0.0,126.0,PPL
78097,0.0,94.0,PPL
78610,0.0,5.0,PPL
80559,1.0,8.0,PPL
89881,394.0,73.0,PAM
89999,0.0,22.0,PPL
90156,389.0,1.0,PAM
93462,197.0,0.0,PAM
94058,4.0,3.0,PAM
94328,33.0,1.0,PAM
95630,240.0,0.0,PAM
96339,263.0,4.0,PAM
96808,1.0,138.0,PPL
98925,753.0,3.0,PAM
100440,4.0,15.0,PPL
100958,217.0,2.0,PAM
102657,208.0,1.0,PAM
107063,8.0,2.0,PAM
108921,1.0,86.0,PPL
110685,0.0,88.0,PPL
111651,12.0,1.0,PAM
115319,0.0,9.0,PPL
116140,0.0,9.0,PPL
116755,12.0,16.0,PPL
116823,0.0,22.0,PPL
118944,1.0,8.0,PPL
121531,2.0,191.0,PPL
123598,13.0,206.0,PPL
123655,14.0,35.0,PPL
123856,1078.0,3.0,PAM
124200,251.0,16.0,PAM
124996,2.0,101.0,PPL
125571,0.0,15.0,PPL
127353,9.0,4.0,PAM
127676,0.0,144.0,PPL
131322,4.0,5.0,PPL
132236,138.0,0.0,PAM
132484,0.0,104.0,PPL
132487,85.0,1.0,PAM
132641,5.0,19.0,PPL
133323,2.0,36.0,PPL
134139,0.0,168.0,PPL
135787,25.0,2.0,PAM
136788,1.0,11.0,PPL
137162,356.0,1.0,PAM
