factor,dur_ms,rep,n_kc_A,n_kc_B,overlap,overlap_pct_of_smaller,mbon_rate_A,mbon_rate_B,wall_s
2,10,0,31,1,0,0.0,18.75,1.04,0.4
2,10,1,14,22,0,0.0,0.0,0.0,0.4
2,15,0,514,372,268,72.0,1.39,16.67,0.5
2,15,1,377,493,267,70.8,8.33,10.42,0.4
2,20,0,1410,1239,1163,93.9,28.12,22.92,0.5
2,20,1,1230,1061,985,92.8,16.15,23.44,0.5
2,30,0,2330,2437,2245,96.4,36.46,39.93,0.6
2,30,1,2527,2462,2437,99.0,45.49,45.14,0.6
2,50,0,3046,3010,2990,99.3,60.21,55.42,0.8
2,50,1,3037,3077,3023,99.5,62.92,58.33,0.8
2,100,0,3271,3282,3253,99.4,72.29,70.62,1.3
2,100,1,3253,3292,3251,99.9,68.85,72.19,1.3
2,200,0,3329,3354,3324,99.8,78.23,78.75,2.3
2,200,1,3310,3327,3304,99.8,76.82,78.49,2.3
2,300,0,3330,3337,3318,99.6,80.49,79.13,3.3
2,300,1,3324,3333,3316,99.8,78.85,80.31,3.3
10,10,0,39,13,6,46.2,16.67,2.08,0.4
10,10,1,13,7,0,0.0,0.0,0.0,0.4
10,15,0,442,609,331,74.9,0.0,19.44,0.4
10,15,1,517,475,315,66.3,22.92,11.81,0.4
10,20,0,1173,1419,1074,91.6,18.23,29.17,0.5
10,20,1,1411,1225,1132,92.4,28.12,21.88,0.5
10,30,0,2440,2539,2382,97.6,39.24,45.14,0.6
10,30,1,2500,2495,2428,97.3,43.4,43.75,0.6
10,50,0,3068,3129,3052,99.5,59.38,62.71,0.8
10,50,1,3081,3028,3008,99.3,62.29,55.83,0.8
10,100,0,3274,3268,3249,99.4,70.21,71.35,1.3
10,100,1,3251,3315,3244,99.8,71.15,74.27,1.3
10,200,0,3337,3353,3318,99.4,79.11,78.75,2.3
10,200,1,3363,3335,3328,99.8,79.38,78.33,2.3
10,300,0,3357,3368,3340,99.5,80.87,80.56,3.3
10,300,1,3354,3349,3330,99.4,80.94,80.69,3.3
50,10,0,12,32,0,0.0,27.08,0.0,0.4
50,10,1,8,14,2,25.0,2.08,0.0,0.4
50,15,0,594,555,388,69.9,3.47,13.89,0.4
50,15,1,440,581,300,68.2,12.5,13.89,0.4
50,20,0,1629,1710,1456,89.4,34.9,34.9,0.5
50,20,1,1486,1633,1362,91.7,31.25,33.33,0.5
50,30,0,2698,2527,2493,98.7,54.51,46.18,0.6
50,30,1,2381,2526,2323,97.6,38.54,44.1,0.6
50,50,0,3116,3108,3048,98.1,61.88,61.46,0.8
50,50,1,3046,3163,3023,99.2,57.08,59.38,0.8
50,100,0,3304,3343,3279,99.2,71.98,73.75,1.3
50,100,1,3311,3381,3289,99.3,73.44,74.48,1.3
50,200,0,3378,3391,3346,99.1,79.22,79.53,2.3
50,200,1,3346,3404,3324,99.3,78.18,79.9,2.3
50,300,0,3379,3410,3348,99.1,81.56,82.19,3.3
50,300,1,3371,3421,3344,99.2,79.86,81.04,3.3
100,10,0,18,10,1,10.0,19.79,0.0,0.4
100,10,1,9,35,0,0.0,0.0,0.0,0.4
100,15,0,381,302,217,71.9,0.69,15.28,0.4
100,15,1,487,519,317,65.1,11.11,16.67,0.4
100,20,0,1418,1334,1192,89.4,26.04,24.48,0.5
100,20,1,1397,1584,1278,91.5,27.6,30.73,0.5
100,30,0,2329,2422,2238,96.1,40.62,41.67,0.6
100,30,1,2381,2571,2340,98.3,43.75,43.75,0.6
100,50,0,3056,3158,3039,99.4,60.62,60.21,0.8
100,50,1,3038,3090,3005,98.9,57.92,58.12,0.8
100,100,0,3324,3354,3291,99.0,72.08,72.5,1.3
100,100,1,3312,3347,3275,98.9,73.85,73.65,1.3
100,200,0,3359,3433,3343,99.5,77.71,79.9,2.3
100,200,1,3350,3408,3325,99.3,80.16,80.57,2.3
100,300,0,3378,3420,3349,99.1,80.69,81.28,3.3
100,300,1,3360,3436,3345,99.6,80.66,81.74,3.3
250,10,0,38,15,6,40.0,25.0,1.04,0.4
250,10,1,29,6,0,0.0,0.0,2.08,0.4
250,15,0,437,404,279,69.1,0.69,15.28,0.4
250,15,1,391,628,282,72.1,13.89,19.44,0.4
250,20,0,1251,1477,1137,90.9,24.48,21.88,0.5
250,20,1,1524,1576,1316,86.4,24.48,34.38,0.5
250,30,0,2212,2463,2195,99.2,38.89,44.1,0.6
250,30,1,2384,2560,2317,97.2,44.44,43.06,0.6
250,50,0,3039,3157,3017,99.3,60.42,61.04,0.8
250,50,1,3081,3123,3046,98.9,57.92,60.42,0.8
250,100,0,3287,3373,3273,99.6,70.21,73.33,1.3
250,100,1,3323,3349,3290,99.0,70.83,70.31,1.3
250,200,0,3354,3392,3326,99.2,78.54,79.43,2.3
250,200,1,3355,3414,3327,99.2,78.91,79.69,2.3
250,300,0,3378,3434,3354,99.3,80.9,82.12,3.3
250,300,1,3379,3422,3351,99.2,81.91,82.33,3.3
